Cinsiyet,Saç Rengi,Göz Rengi,Duygu
"{'Woman': 2.428089641034603, 'Man': 97.57190346717834}",Siyah (Boyalı olabilir),Bilinmiyor,sad
"{'Woman': 0.15828997129574418, 'Man': 99.84171390533447}",Sarışın (Boyalı olabilir),Bilinmiyor,sad
"{'Woman': 0.09029382490552962, 'Man': 99.90971088409424}",Sarışın (Boyalı olabilir),Bilinmiyor,sad
"{'Woman': 0.06565721123479307, 'Man': 99.93434548377991}",Bilinmiyor,Bilinmiyor,sad
"{'Woman': 0.09506249334663153, 'Man': 99.90493655204773}",Sarışın (Boyalı olabilir),Bilinmiyor,sad
"{'Woman': 0.012368765601422638, 'Man': 99.98762607574463}",Sarışın (Boyalı olabilir),Bilinmiyor,fear
"{'Woman': 0.01366903743473813, 'Man': 99.98632669448853}",Sarışın (Boyalı olabilir),Bilinmiyor,fear
"{'Woman': 0.08518276736140251, 'Man': 99.91481304168701}",Sarışın (Boyalı olabilir),Bilinmiyor,fear
"{'Woman': 0.05097085959278047, 'Man': 99.94902610778809}",Kahverengi,Bilinmiyor,sad
"{'Woman': 0.0859302410390228, 'Man': 99.91406202316284}",Sarışın (Boyalı olabilir),Bilinmiyor,neutral
"{'Woman': 0.08499515242874622, 'Man': 99.9150037765503}",Sarışın (Boyalı olabilir),Bilinmiyor,neutral
"{'Woman': 0.05972559447400272, 'Man': 99.94027614593506}",Kahverengi,Bilinmiyor,sad
"{'Woman': 0.038696028059348464, 'Man': 99.9613106250763}",Kahverengi,Bilinmiyor,sad
"{'Woman': 0.14058862579986453, 'Man': 99.85941052436829}",Kahverengi,Bilinmiyor,sad
"{'Woman': 0.15403880970552564, 'Man': 99.84595775604248}",Sarışın (Boyalı olabilir),Bilinmiyor,sad
"{'Woman': 0.09655397152528167, 'Man': 99.90345239639282}",Kahverengi,Bilinmiyor,sad
"{'Woman': 0.1520636724308133, 'Man': 99.8479425907135}",Kahverengi,Bilinmiyor,sad
"{'Woman': 0.0614485121332109, 'Man': 99.93854761123657}",Sarışın (Boyalı olabilir),Bilinmiyor,sad
"{'Woman': 0.20174130331724882, 'Man': 99.79826211929321}",Sarışın (Boyalı olabilir),Bilinmiyor,fear
"{'Woman': 0.08504505967721343, 'Man': 99.91495609283447}",Kahverengi,Bilinmiyor,sad
"{'Woman': 0.03493146796245128, 'Man': 99.96507167816162}",Kahverengi,Bilinmiyor,sad
"{'Woman': 0.05184090114198625, 'Man': 99.94816184043884}",Kahverengi,Bilinmiyor,sad
"{'Woman': 0.026552911731414497, 'Man': 99.97344613075256}",Kahverengi,Bilinmiyor,sad
"{'Woman': 0.03347122692503035, 'Man': 99.96652603149414}",Sarışın (Boyalı olabilir),Bilinmiyor,sad
"{'Woman': 12.767495214939117, 'Man': 87.23250031471252}",Sarışın (Boyalı olabilir),Bilinmiyor,happy
"{'Woman': 0.22254972718656063, 'Man': 99.77745413780212}",Sarışın (Boyalı olabilir),Bilinmiyor,fear
"{'Woman': 0.07330343360081315, 'Man': 99.92669224739075}",Sarışın (Boyalı olabilir),Bilinmiyor,fear
"{'Woman': 0.04702523001469672, 'Man': 99.95297193527222}",Sarışın (Boyalı olabilir),Bilinmiyor,fear
"{'Woman': 0.10241243289783597, 'Man': 99.89758729934692}",Sarışın (Boyalı olabilir),Bilinmiyor,fear
"{'Woman': 0.1623885240405798, 'Man': 99.83761310577393}",Sarışın (Boyalı olabilir),Bilinmiyor,fear
"{'Woman': 0.2924165688455105, 'Man': 99.70757961273193}",Sarışın (Boyalı olabilir),Bilinmiyor,fear
"{'Woman': 0.16480340855196118, 'Man': 99.83519315719604}",Sarışın (Boyalı olabilir),Bilinmiyor,sad
"{'Woman': 0.1669429591856897, 'Man': 99.83305335044861}",Sarışın (Boyalı olabilir),Bilinmiyor,fear
"{'Woman': 0.3479108214378357, 'Man': 99.65208768844604}",Sarışın (Boyalı olabilir),Bilinmiyor,sad
"{'Woman': 0.08708838140591979, 'Man': 99.91291165351868}",Sarışın (Boyalı olabilir),Bilinmiyor,sad
"{'Woman': 0.15899438876658678, 'Man': 99.84099864959717}",Bilinmiyor,Bilinmiyor,sad
"{'Woman': 0.10061076609417796, 'Man': 99.89939332008362}",Sarışın (Boyalı olabilir),Bilinmiyor,sad
"{'Woman': 0.0751826970372349, 'Man': 99.92480874061584}",Sarışın (Boyalı olabilir),Bilinmiyor,sad
